run_tag,symbol,preset,model,ticket,direction,ny_day,entry_time_ny,exit_time_ny,entry_price,exit_price,sl_price,tp_price,risk_points,r_realized,mfe_r,mae_r,spread_pts_entry,range_high,range_low,range_pts,atr_pts,range_atr_ratio,rvol,bias,lots,profit_ccy,balance_after,bars_held,exit_reason
orb_break_direct_fixed_r_t2.0,USATECHIDXUSD,ORB,break_direct,1,LONG,2026-02-02,2026-02-02 09:36:00+00:00,2026-02-02 13:01:00+00:00,25557.98526,25816.17178,25428.89200,25816.17178,129.1,2.0000,2.0252,0.0128,1.1,25554.50000,25428.89200,125.6,0.0,0.000,1.000,OFF,0.00,100.00,10100.00,145,take_profit
orb_break_direct_fixed_r_t2.0,USATECHIDXUSD,ORB,break_direct,2,SHORT,2026-02-03,2026-02-03 09:39:00+00:00,2026-02-03 10:00:00+00:00,25724.39832,25490.49697,25841.34900,25490.49697,117.0,2.0000,2.0603,0.0278,1.1,25841.34900,25728.41900,112.9,0.0,0.000,1.000,OFF,0.00,101.00,10201.00,21,take_profit
orb_break_direct_fixed_r_t2.0,USATECHIDXUSD,ORB,break_direct,3,SHORT,2026-02-03,2026-02-03 10:02:00+00:00,2026-02-03 15:54:00+00:00,25481.96477,25316.71091,25841.34900,24763.19632,359.4,0.4598,1.0300,0.1416,1.1,25841.34900,25728.41900,112.9,0.0,0.000,1.000,OFF,0.00,23.45,10224.45,352,session_flat
orb_break_direct_fixed_r_t2.0,USATECHIDXUSD,ORB,break_direct,4,SHORT,2026-02-04,2026-02-04 09:58:00+00:00,2026-02-04 12:27:00+00:00,25124.60190,24810.70769,25281.54900,24810.70769,156.9,2.0000,2.1941,0.4830,1.1,25281.54900,25127.03800,154.5,119.3,1.295,1.087,OFF,0.00,102.24,10326.70,89,take_profit
orb_break_direct_fixed_r_t2.0,USATECHIDXUSD,ORB,break_direct,5,LONG,2026-02-05,2026-02-05 09:38:00+00:00,2026-02-05 10:08:00+00:00,24751.86237,24553.27900,24553.27900,25149.02910,198.6,-1.0000,0.5448,1.0470,1.1,24714.01100,24553.27900,160.7,131.0,1.227,1.175,OFF,0.00,-51.63,10275.06,30,stop_loss
orb_break_direct_fixed_r_t2.0,USATECHIDXUSD,ORB,break_direct,6,SHORT,2026-02-05,2026-02-05 10:11:00+00:00,2026-02-05 11:33:00+00:00,24544.56650,24714.01100,24714.01100,24205.67749,169.4,-1.0000,0.5593,1.0042,1.1,24714.01100,24553.27900,160.7,131.0,1.227,1.175,OFF,0.00,-51.38,10223.69,82,stop_loss
orb_break_direct_fixed_r_t2.0,USATECHIDXUSD,ORB,break_direct,7,LONG,2026-02-06,2026-02-06 09:39:00+00:00,2026-02-06 15:54:00+00:00,24817.61206,25114.44177,24609.78300,25233.27018,207.8,1.4282,1.5132,0.7953,1.1,24794.38100,24609.78300,184.6,138.4,1.333,1.081,OFF,0.00,73.01,10296.70,375,session_flat
orb_break_direct_fixed_r_t2.0,USATECHIDXUSD,ORB,break_direct,8,LONG,2026-02-09,2026-02-09 09:38:00+00:00,2026-02-09 11:28:00+00:00,25001.09681,25264.96243,24869.16400,25264.96243,131.9,2.0000,2.0267,0.1625,1.1,24987.56600,24869.16400,118.4,147.7,0.802,1.009,OFF,0.00,102.97,10399.67,110,take_profit
orb_break_direct_fixed_r_t2.0,USATECHIDXUSD,ORB,break_direct,9,SHORT,2026-02-10,2026-02-10 09:37:00+00:00,2026-02-10 10:06:00+00:00,25248.97152,25323.82700,25323.82700,25099.26056,74.9,-1.0000,1.0450,1.4502,1.1,25323.82700,25261.46900,62.4,142.8,0.437,0.902,OFF,0.00,-52.00,10347.67,29,stop_loss
orb_break_direct_fixed_r_t2.0,USATECHIDXUSD,ORB,break_direct,10,LONG,2026-02-10,2026-02-10 10:08:00+00:00,2026-02-10 11:22:00+00:00,25352.43817,25261.46900,25261.46900,25534.37652,91.0,-1.0000,0.0946,1.1718,1.1,25323.82700,25261.46900,62.4,142.8,0.437,0.902,OFF,0.00,-51.74,10295.93,74,stop_loss
orb_break_direct_fixed_r_t2.0,USATECHIDXUSD,ORB,break_direct,11,SHORT,2026-02-11,2026-02-11 09:37:00+00:00,2026-02-11 10:13:00+00:00,25278.18861,25069.50783,25382.52900,25069.50783,104.3,2.0000,2.0969,0.7243,1.1,25382.52900,25285.53300,97.0,131.3,0.739,0.929,OFF,0.00,102.96,10398.89,36,take_profit
orb_break_direct_fixed_r_t2.0,USATECHIDXUSD,ORB,break_direct,12,SHORT,2026-02-11,2026-02-11 10:15:00+00:00,2026-02-11 15:54:00+00:00,25105.07365,25229.54357,25382.52900,24550.16295,277.5,-0.4486,0.4630,0.6174,1.1,25382.52900,25285.53300,97.0,131.3,0.739,0.929,OFF,0.00,-23.33,10375.56,339,session_flat
orb_break_direct_fixed_r_t2.0,USATECHIDXUSD,ORB,break_direct,13,SHORT,2026-02-12,2026-02-12 09:45:00+00:00,2026-02-12 10:09:00+00:00,25228.27512,25091.87536,25296.47500,25091.87536,68.2,2.0000,2.0212,0.2173,1.1,25296.47500,25239.36600,57.1,127.0,0.450,0.921,OFF,0.00,103.76,10479.32,24,take_profit
